,date,approve,disapprove,dk,startDate,endDate,midDate,idate,dop
1,2002 Jan 11-14,83,13,4,1/11/02,1/11/02,1/11/02,1/20/01,356
2,2002 Jan 7-9,84,12,4,1/7/02,1/7/02,1/7/02,1/20/01,352
3,2001 Dec 14-16,86,11,3,12/14/01,12/14/01,12/14/01,1/20/01,328
4,2001 Dec 6-9,86,10,4,12/6/01,12/6/01,12/6/01,1/20/01,320
5,2001 Nov 26-27,87,8,5,11/26/01,11/26/01,11/26/01,1/20/01,310
6,2001 Nov 8-11,87,9,4,11/8/01,11/8/01,11/8/01,1/20/01,292
7,2001 Nov 2-4,87,9,4,11/2/01,11/2/01,11/2/01,1/20/01,286
8,2001 Oct 19-21,88,9,3,10/19/01,10/19/01,10/19/01,1/20/01,272
9,2001 Oct 11-14,89,8,3,10/11/01,10/11/01,10/11/01,1/20/01,264
10,2001 Oct 5-6,87,10,3,10/5/01,10/5/01,10/5/01,1/20/01,258
11,2001 Sep 21-22,90,6,4,9/21/01,9/21/01,9/21/01,1/20/01,244
12,2001 Sep 14-15,86,10,4,9/14/01,9/14/01,9/14/01,1/20/01,237
13,2001 Sep 7-10,51,39,10,9/7/01,9/7/01,9/7/01,1/20/01,230
14,2001 Aug 24-26,55,36,9,8/24/01,8/24/01,8/24/01,1/20/01,216
15,2001 Aug 16-19,57,34,9,8/16/01,8/16/01,8/16/01,1/20/01,208
16,2001 Aug 10-12,57,35,8,8/10/01,8/10/01,8/10/01,1/20/01,202
17,2001 Aug 3-5,55,35,10,8/3/01,8/3/01,8/3/01,1/20/01,195
18,2001 Jul 19-22,56,33,11,7/19/01,7/19/01,7/19/01,1/20/01,180
19,2001 Jul 10-11,57,35,8,7/10/01,7/10/01,7/10/01,1/20/01,171
20,2001 Jun 28-Jul 1,52,34,14,6/28/01,6/28/01,6/28/01,1/20/01,159
21,2001 Jun 11-17,55,33,12,6/11/01,6/11/01,6/11/01,1/20/01,142
22,2001 Jun 8-10,55,35,10,6/8/01,6/8/01,6/8/01,1/20/01,139
23,2001 May 18-20,56,36,8,5/18/01,5/18/01,5/18/01,1/20/01,118
24,2001 May 10-14,56,31,13,5/10/01,5/10/01,5/10/01,1/20/01,110
25,2001 May 7-9,53,33,14,5/7/01,5/7/01,5/7/01,1/20/01,107
26,2001 Apr 20-22,62,29,9,4/20/01,4/20/01,4/20/01,1/20/01,90
27,2001 Apr 6-8,59,30,11,4/6/01,4/6/01,4/6/01,1/20/01,76
28,2001 Mar 26-28,53,29,18,3/26/01,3/26/01,3/26/01,1/20/01,65
29,2001 Mar 9-11,58,29,13,3/9/01,3/9/01,3/9/01,1/20/01,48
30,2001 Mar 5-7,63,22,15,3/5/01,3/5/01,3/5/01,1/20/01,44
31,2001 Feb 19-21,62,21,17,2/19/01,2/19/01,2/19/01,1/20/01,30
32,2001 Feb 9-11,57,25,18,2/9/01,2/9/01,2/9/01,1/20/01,20
33,2001 Feb 1-4,57,25,18,2/1/01,2/1/01,2/1/01,1/20/01,12
34,,,,,,,,,